verdant:   adj. Green with vegetation. 
distrainor:   n. One who subjects a person to distress. 
buoyant:   adj. Having the power or tendency to float or keep afloat. 
cession:   n. Surrender, as of possessions or rights. 
malevolence:   n. Ill will. 
foggy:   adj. Obscure. 
nonentity:   n. A person or thing of little or no account. 
mettle:   n. Courage. 
corrode:   v. To ruin or destroy little by little. 
habitude:   n. Customary relation or association. 
pension:   n. A periodical allowance to an individual on account of past service done by him/her. 
impunity:   n. Freedom from punishment. 
prehensible:   adj. Capable of being grasped. 
ramify:   v. To divide or subdivide into branches or subdivisions. 
professor:   n. A public teacher of the highest grade in a university or college. 
mobocracy:   n. Lawless control of public affairs by the mob or populace. 
manumission:   n. Emancipation. 
abduction:   n. A carrying away of a person against his will, or illegally. 
alien:   n. One who owes allegiance to a foreign government. 
grievous:   adj. Creating affliction. 
pentathlon:   n. The contest of five associated exercises in the great games and the same contestants. 
assent:   v. To express agreement with a statement or matter of opinion. 
psychopathic:   adj. Morally irresponsible. 
betrothal:   n. Engagement to marry. 
accelerate:   v. To move faster. 
seminary:   n. A special school, as of theology or pedagogics. 
persistence:   n. A fixed adherence to a resolve, course of conduct, or the like. 
revelation:   n. A disclosing, discovering, or making known of what was before secret, private, or unknown. 
lyric:   adj. Fitted for expression in song. 
paternity:   n. Fatherhood. 
venial:   adj. That may be pardoned or forgiven, a forgivable sin. 
duckling:   n. A young duck. 
benignity:   n. Kindness of feeling, disposition, or manner. 
acknowledge:   v. To recognize; to admit the genuineness or validity of. 
belligerent:   adj. Manifesting a warlike spirit. 
reprehensible:   adj. Censurable. 
intersect:   v. To cut through or into so as to divide. 
dominate:   v. To influence controllingly. 
begrudge:   v. To envy one of the possession of. 
contradictory:   adj. Inconsistent with itself. 
wrangle:   v. To maintain by noisy argument or dispute. 
qualification:   n. A requisite for an employment, position, right, or privilege. 
bigamist:   n. One who has two spouses at the same time. 
austere:   adj. Severely simple; unadorned. 
garrulous:   adj. Given to constant trivial talking. 
diagnose:   v. To distinguish, as a disease, by its characteristic phenomena. 
coincidence:   n. A circumstance so agreeing with another
afterthought:   n. A thought that comes later than its appropriate or expected time. 
diagnosis:   n. Determination of the distinctive nature of a disease. 
excess:   n. That which passes the ordinary, proper, or required limit, measure, or experience. 
physics:   n. The science that treats of the phenomena associated with matter and energy. 
close-hauled:   adj. Having the sails set for sailing as close to the wind as possible. 
hybrid:   adj. Cross-bred. 
vainglory:   n. Excessive, pretentious, and demonstrative vanity. 
awaken:   v. To arouse, as emotion, interest, or the like. 
patriarch:   n. The chief of a tribe or race who rules by paternal right. 
concede:   v. To surrender. 
optics:   n. The science that treats of light and vision, and all that is connected with sight. 
vindicate:   v. To prove true, right, or real. 
indigent:   adj. Poor. 
promontory:   n. A high point of land extending outward from the coastline into the sea. 
virago:   n. A bold, impudent, turbulent woman. 
sustenance:   n. Food. 
impregnate:   v. To make pregnant. 
trestle:   n. An open braced framework for supporting the horizontal stringers of a railway-bridge. 
derive:   v. To deduce, as from a premise. 
protagonist:   n. A leader in any enterprise or contest. 
fetus:   n. The young in the womb or in the egg. 
muleteer:   n. A mule-driver. 
epic:   n. A poem celebrating in formal verse the mythical achievements of great personages, heroes, etc. 
niggardly:   adj. Stingy. (no longer acceptable to use) 
service:   n. Any work done for the benefit of another. 
habitable:   adj. Fit to be dwelt in. 
advocate:   n. One who pleads the cause of another, as in a legal or ecclesiastical court. 
discrepant:   adj. Opposite. 
exhume:   v. To dig out of the earth (what has been buried). 
litigant:   n. A party to a lawsuit. 
pudgy:   adj. Small and fat. 
galore:   adj. Abundant. 
clumsy:   adj. Awkward of movement. 
quiescence:   n. Quiet. 
myth:   n. A fictitious narrative presented as historical, but without any basis of fact. 
sediment:   n. Matter that settles to the bottom of a liquid. 
invalid:   n. One who is disabled by illness or injury. 
Anglo-Saxon:   n. The entire English race wherever found, as in Europe, the United States, or India. 
disinherit:   v. To deprive of an inheritance. 
pique:   v. To excite a slight degree of anger in. 
sequestrate:   v. To confiscate. 
decagram:   n. A weight of 10 grams. 
sentient:   adj. Possessing the power of sense or sense-perception. 
interact:   v. To act reciprocally. 
depository:   n. A place where anything is kept in safety. 
presentiment:   n. Foreboding. 
airy:   adj. Delicate, ethereal. 
fracture:   n. A break. 
animadversion:   n. The utterance of criticism or censure. 
remodel:   v. Reconstruct. 
exegesis:   n. Biblical exposition or interpretation. 
enormity:   n. Immensity. 
involution:   n. Complication. 
achromatic:   adj. Colorless, 
elusion:   n. Evasion. 
commotion:   n. A disturbance or violent agitation. 
germane:   adj. Relevant. 
assonance:   n. Resemblance or correspondence in sound. 
indolent:   adj. Habitually inactive or idle. 
archaeology:   n. The branch of anthropology concerned with the systematic investigation of the relics of man. 
Spartan:   adj. Exceptionally brave; rigorously severe. 
procrastinate:   v. To put off till tomorrow or till a future time. 
supplicant:   n. One who asks humbly and earnestly. 
nauseous:   adj. Loathsome. 
trisect:   v. To divide into three parts, especially into three equal parts. 
penury:   n. Indigence. 
Norman:   adj. Of or peculiar to Normandy, in northern France. 
insentient:   adj. Lacking the power of feeling or perceiving. 
expostulate:   v. To discuss. 
manumit:   v. To set free from bondage. 
reprimand:   v. To chide or rebuke for a fault. 
by-law:   n. A rule or law adopted by an association, a corporation, or the like. 
forfeit:   v. To lose possession of through failure to fulfill some obligation. 
amusement:   n. Diversion. 
juror:   n. One who serves on a jury or is sworn in for jury duty in a court of justice. 
dominance:   n. Ascendancy. 
theorist:   n. One given to speculating. 
anhydrous:   adj. Withered. 
fragile:   adj. Capable of being broken. 
stimulate:   v. To rouse to activity or to quickened action. 
intercession:   n. Entreaty in behalf of others. 
iconoclast:   n. An image-breaker. 
precise:   adj. Exact. 
misanthropic:   adj. Hating mankind. 
stallion:   n. An uncastrated male horse, commonly one kept for breeding. 
ogre:   n. A demon or monster that was supposed to devour human beings. 
differentia:   n. Any essential characteristic of a species by reason of which it differs from other species. 
ambush:   n. The act or state of lying concealed for the purpose of surprising or attacking the enemy. 
truthful:   adj. Veracious. 
domain:   n. A sphere or field of action or interest. 
unsettle:   v. To put into confusion. 
autarchy:   n. Unrestricted power. 
vicissitude:   n. A change, especially a complete change, of condition or circumstances, as of fortune. 
jargon:   n. Confused, unintelligible speech or highly technical speech. 
obstruct:   v. To fill with impediments so as to prevent passage, either wholly or in part. 
semblance:   n. Outward appearance. 
deceitful:   adj. Fraudulent. 
heptarchy:   n. A group of seven governments. 
aliment:   n. That which nourishes. 
convolution:   n. A winding motion. 
proportionate:   adj. Being in proportion. 
sinuosity:   n. The quality of curving in and out. 
leeward:   n. That side or direction toward which the wind blows. 
temerity:   n. Recklessness. 
cranium:   n. The skull of an animal, especially that part enclosing the brain. 
deforest:   v. To clear of forests. 
squatter:   n. One who settles on land without permission or right. 
sophism:   n. A false argument understood to be such by the reasoner himself and intentionally used to deceive
irksome:   adj. Wearisome. 
resurgent:   adj. Surging back or again. 
ultimate:   adj. Beyond which there is nothing else. 
forejudge:   v. To judge of before hearing evidence. 
arbor:   n. A tree. 
liturgy:   n. A ritual. 
telephony:   n. The art or process of communicating by telephone. 
stagnation:   n. The condition of not flowing or not changing. 
dogmatic:   adj. Making statements without argument or evidence. 
monsieur:   n. A French title of respect, equivalent to Mr. and sir. 
accuracy:   n. Exactness. 
caitiff:   adj. Cowardly. 
misinterpret:   v. To misunderstand. 
typify:   v. To serve as a characteristic example of. 
lax:   adj. Not stringent or energetic. 
stultify:   v. To give an appearance of foolishness to. 
plenitude:   n. Abundance. 
impel:   v. To drive or urge forward. 
pantheism:   n. The worship of nature for itself or its beauty. 
facility:   n. Ease. 
miter:   n. The junction of two bodies at an equally divided angle. 
submerge:   v. To place or plunge under water. 
heritage:   n. Birthright. 
emporium:   n. A bazaar or shop. 
baffle:   v. To foil or frustrate. 
wiry:   adj. Thin, but tough and sinewy. 
secede:   v. To withdraw from union or association, especially from a political or religious body. 
cosmetic:   adj. Pertaining to the art of beautifying, especially the complexion. 
habitual:   adj. According to usual practice. 
depositor:   n. One who makes a deposit, or has an amount deposited. 
deter:   v. To frighten away. 
tacit:   adj. Understood. 
ridiculous:   adj. Laughable and contemptible. 
obnoxious:   adj. Detestable. 
peter:   v. To fail or lose power, efficiency, or value. 
repress:   v. To keep under restraint or control. 
qualify:   v. To endow or furnish with requisite ability, character, knowledge, skill, or possessions. 
needlework:   n. Embroidery. 
ado:   n. unnecessary activity or ceremony. 
specter:   n. Apparition. 
exterior:   n. That which is outside. 
procedure:   n. A manner or method of acting. 
spontaneous:   adj. Arising from inherent qualities or tendencies without external efficient cause. 
puerile:   adj. Childish. 
mulatto:   n. The offspring of a white person and a black person. 
disappear:   v. To cease to exist, either actually or for the time being. 
incessant:   adj. Unceasing. 
Bowdlerize:   v. To expurgate in editing (a literary composition) by omitting words or passages. 
treasonable:   adj. Of the nature of betrayal, treachery, or breech of allegiance. 
zephyr:   n. Any soft, gentle wind. 
wield:   v. To use, control, or manage, as a weapon, or instrument, especially with full command. 
aerostatics:   n. The branch of pneumatics that treats of the equilibrium, pressure, and mechanical properties. 
bedlam:   n. Madhouse. 
inglorious:   adj. Shameful. 
profuse:   adj. Produced or displayed in overabundance. 
conciliate:   v. To obtain the friendship of. 
animalcule:   n. An animal of microscopic smallness. 
premise:   n. A judgment as a conclusion. 
poetaster:   n. An inferior poet. 
deduce:   v. To derive or draw as a conclusion by reasoning from given premises or principles. 
bide:   v. To await. 
involuntary:   adj. Unwilling. 
succumb:   v. To cease to resist. 
misapprehend:   v. To misunderstand. 
trimness:   n. Neatness. 
repugnance:   n. Thorough dislike. 
energetic:   adj. Working vigorously. 
filibuster:   n. One who attempts to obstruct legislation. 
ferocious:   adj. Of a wild, fierce, and savage nature. 
theorize:   v. To speculate. 
perceptible:   adj. Cognizable. 
prescriptible:   adj. Derived from authoritative direction. 
quintessence:   n. The most essential part of anything. 
accede:   v. To agree. 
duration:   n. The period of time during which anything lasts. 
cabal:   n. A number of persons secretly united for effecting by intrigue some private purpose. 
feudalism:   n. The feudal system. 
exhale:   v. To breathe forth. 
discipline:   v. To train to obedience. 
unison:   n. A condition of perfect agreement and accord. 
archaic:   adj. Antiquated 
fastidious:   adj. Hard to please. 
coercive:   adj. Serving or tending to force. 
chastity:   n. Sexual or moral purity. 
underlie:   v. To be the ground or support of. 
bombast:   n. Inflated or extravagant language, especially on unimportant subjects. 
injunction:   n. Mandate. 
imaginary:   adj. Fancied. 
mockery:   n. Ridicule. 
underhanded:   adj. Clandestinely carried on. 
stripling:   n. A mere youth. 
magnitude:   n. Importance. 
perusal:   n. The act of reading carefully or thoughtfully. 
profiteer:   n. One who profits. 
heedless:   adj. Thoughtless. 
gradient:   adj. Moving or advancing by steps. 
pillage:   n. Open robbery, as in war. 
substantive:   adj. Solid. 
braze:   v. To make of or ornament with brass. 
exert:   v. To make an effort. 
excitation:   n. Intensified emotion or action. 
overstride:   v. To step beyond. 
maze:   n. A labyrinth. 
fraudulent:   adj. Counterfeit. 
bray:   n. A loud harsh sound, as the cry of an ass or the blast of a horn. 
transpire:   v. To come to pass. 
pastoral:   adj. Having the spirit or sentiment of rural life. 
deleterious:   adj. Hurtful, morally or physically. 
balsam:   n. A medical preparation, aromatic and oily, used for healing. 
complacent:   adj. Pleased or satisfied with oneself. 
dun:   v. To make a demand or repeated demands on for payment. 
indispensable:   adj. Necessary or requisite for the purpose. 
illusion:   n. An unreal image presented to the senses. 
sebaceous:   adj. Pertaining to or appearing like fat. 
vendor:   n. A seller. 
acrimony:   n. Sharpness or bitterness of speech or temper. 
reactionary:   adj. Pertaining to, of the nature of, causing, or favoring reaction. 
tantamount:   adj. Having equal or equivalent value, effect, or import. 
improper:   adj. Not appropriate, suitable, or becoming. 
felicitate:   v. To wish joy or happiness to, especially in view of a coming event. 
deplorable:   adj. Contemptible. 
oratory:   n. The art of public speaking. 
proficient:   adj. Possessing ample and ready knowledge or of skill in any art, science, or industry. 
fervor:   n. Ardor or intensity of feeling. 
variegate:   v. To mark with different shades or colors. 
lea:   n. A field. 
valorous:   adj. Courageous. 
intricate:   adj. Difficult to follow or understand. 
static:   adj. Pertaining to or designating bodies at rest or forces in equilibrium. 
deform:   v. To disfigure. 
collective:   adj. Consisting of a number of persons or objects considered as gathered into a mass, or sum. 
ampere:   n. The practical unit of electric-current strength. 
atheism:   n. The denial of the existence of God. 
incidence:   n. Casual occurrence. 
mundane:   adj. Worldly, as opposed to spiritual or celestial. 
innovate:   v. To introduce or strive to introduce new things. 
antispasmodic:   adj. Tending to prevent or relieve non-inflammatory spasmodic affections. 
midsummer:   n. The middle of the summer. 
occult:   adj. Existing but not immediately perceptible. 
untoward:   adj. Causing annoyance or hindrance. 
encroach:   v. To invade partially or insidiously and appropriate the possessions of another. 
relinquish:   v. To give up using or having. 
lacerate:   v. To tear rudely or raggedly. 
infirm:   adj. Lacking in bodily or mental strength. 
comprehension:   n. Ability to know. 
suspense:   n. Uncertainty. 
subservience:   n. The quality, character, or condition of being servilely following another's behests. 
bronchus:   n. Either of the two subdivisions of the trachea conveying air into the lungs. 
prototype:   n. A work, original in character, afterward imitated in form or spirit. 
stringent:   adj. Rigid. 
consecutive:   adj. Following in uninterrupted succession. 
leonine:   adj. Like a lion. 
tenor:   n. A settled course or manner of progress. 
annunciation:   n. Proclamation. 
sublingual:   adj. Situated beneath the tongue. 
poignant:   adj. Severely painful or acute to the spirit. 
delineate:   v. To represent by sketch or diagram. 
luxuriate:   v. To live sumptuously. 
succinct:   adj. Concise. 
truism:   n. A statement so plainly true as hardly to require statement or proof. 
dishabille:   n. Undress or negligent attire. 
vinery:   n. A greenhouse for grapes. 
dogmatize:   v. To make positive assertions without supporting them by argument or evidence. 
botanical:   adj. Connected with the study or cultivation of plants. 
conduit:   n. A means for conducting something, particularly a tube, pipe, or passageway for a fluid. 
necrology:   n. A list of persons who have died in a certain place or time. 
rationalism:   n. The formation of opinions by relying upon reason alone, independently of authority. 
malediction:   n. The calling down of a curse or curses. 
prehension:   n. The act of laying hold of or grasping. 
ire:   n. Wrath. 
venous:   adj. Of, pertaining to, or contained or carried in a vein or veins. 
contemporary:   adj. Living or existing at the same time. 
maudlin:   adj. Foolishly and tearfully affectionate. 
paucity:   n. Fewness. 
poise:   n. Equilibrium. 
undue:   adj. More than sufficient. 
transatlantic:   adj. Situated beyond or on the other side of the Atlantic. 
resonance:   n. The quality of being able to reinforce sound by sympathetic vibrations. 
insight:   n. Intellectual discernment. 
plebeian:   adj. Common. 
parricide:   n. The murder of a parent. 
savor:   v. To perceive by taste or smell. 
pioneer:   n. One among the first to explore a country. 
alter:   v. To make change in. 
statistician:   n. One who is skilled in collecting and tabulating numerical facts. 
sensuous:   adj. Having a warm appreciation of the beautiful or of the refinements of luxury. 
prickle:   v. To puncture slightly with fine, sharp points. 
confidence:   n. The state or feeling of trust in or reliance upon another. 
censor:   n. An official examiner of manuscripts empowered to prohibit their publication. 
rankle:   v. To produce irritation or festering. 
disrupt:   v. To burst or break asunder. 
abridge:   v. To make shorter in words, keeping the essential features, leaning out minor particles. 
anticlimax:   n. A gradual or sudden decrease in the importance or impressiveness of what is said. 
acquire:   v. To get as one's own. 
luxuriance:   n. Excessive or superfluous growth or quantity. 
breech:   n. The buttocks. 
compute:   v. To ascertain by mathematical calculation. 
occlude:   v. To absorb, as a gas by a metal. 
blaspheme:   v. To indulge in profane oaths. 
delusion:   n. Mistaken conviction, especially when more or less enduring. 
retrospective:   adj. Looking back on the past. 
perhaps:   adv. Possibly. 
querulous:   adj. Habitually complaining. 
ordeal:   n. Anything that severely tests courage, strength, patience, conscience, etc. 
divinity:   n. The quality or character of being godlike. 
faun:   n. One of a class of deities of the woods and herds represented as half human, with goats feet. 
readily:   adv. Without objection or reluctance. 
submergence:   n. The act of submerging. 
irritable:   adj. Showing impatience or ill temper on little provocation. 
miscreant:   n. A villain. 
atone:   v. To make amends for. 
predominant:   adj. Superior in power, influence, effectiveness, number, or degree. 
reassure:   v. To give new confidence. 
preposterous:   adj. Utterly ridiculous or absurd. 
incandescence:   n. The state of being white or glowing with heat. 
abnegate:   v. To renounce (a right or privilege). 
diaphanous:   adj. Transparent. 
dogma:   n. A statement of religious faith or duty formulated by a body claiming authority. 
nameless:   adj. Having no fame or reputation. 
solicitor:   n. One who represents a client in court of justice; an attorney. 
overpay:   v. To pay or reward in excess. 
bass:   adj. Low in tone or compass. 
loathe:   v. To abominate. 
frontier:   n. The part of a nation's territory that abuts upon another country. 
triennial:   adj. Taking place every third year. 
lithograph:   n. A print made by printing from stone. 
meditation:   n. The turning or revolving of a subject in the mind. 
robust:   adj. Characterized by great strength or power of endurance. 
sonata:   n. An instrumental composition. 
credible:   adj. Believable. 
physiography:   n. Description of nature. 
stigma:   n. A mark of infamy or token of disgrace attaching to a person as the result of evil-doing. 
armada:   n. A fleet of war-vessels. 
ancestry:   n. One's ancestors collectively. 
insuperable:   adj. Invincible. 
Calvinism:   n. The system of doctrine taught by John Calvin. 
insurgence:   n. Uprising. 
frankincense:   n. A gum or resin which on burning yields aromatic fumes. 
analogy:   n. Reasoning in which from certain and known relations or resemblance others are formed. 
perversion:   n. Diversion from the true meaning or proper purpose. 
convergent:   adj. Tending to one point. 
gravity:   n. Seriousness. 
foolery:   n. Folly. 
functionary:   n. An official. 
nude:   adj. Naked. 
liquefacient:   adj. Possessing a liquefying nature or power. 
vertigo:   n. Dizziness. 
crockery:   n. Earthenware made from baked clay. 
malign:   v. To speak evil of, especially to do so falsely and severely. 
levy:   v. To impose and collect by force or threat of force. 
misuse:   v. To maltreat. 
floral:   adj. Pertaining to flowers. 
epiphany:   n. Any appearance or bodily manifestation of a deity. 
jocular:   adj. Inclined to joke. 
rustic:   adj. Characteristic of dwelling in the country. 
recoil:   v. To start back as in dismay, loathing, or dread. 
discreet:   adj. Judicious. 
statics:   n. The branch of mechanics that treats of the relations that subsist among forces in order. 
dissipate:   v. To disperse or disappear. 
collegian:   n. A college student. 
inept:   adj. Not fit or suitable. 
continuance:   n. Permanence. 
fitful:   adj. Spasmodic. 
ablution:   n. A washing or cleansing, especially of the body. 
presentient:   adj. Perceiving or feeling beforehand. 
superheat:   v. To heat to excess. 
pedagogics:   n. The science and art of teaching. 
evidential:   adj. Indicative. 
chasten:   v. To purify by affliction. 
desperate:   adj. Resorted to in a last extremity, or as if prompted by utter despair. 
electrotype:   n. A metallic copy of any surface, as a coin. 
precession:   n. The act of going forward. 
panic:   n. A sudden, unreasonable, overpowering fear. 
embellish:   v. To make beautiful or elegant by adding attractive or ornamental features. 
misrepresent:   v. To give a wrong impression. 
nausea:   n. An affection of the stomach producing dizziness and usually an impulse to vomit 
head:   foremost adv. Precipitately, as in diving. 
redolence:   n. Smelling sweet and agreeable. 
granary:   n. A storehouse for grain after it is thrashed or husked. 
seismograph:   n. An instrument for recording the phenomena of earthquakes. 
initiate:   v. To perform the first act or rite. 
eject:   v. To expel. 
repartee:   n. A ready, witty, or apt reply. 
insecure:   adj. Not assured of safety. 
triplicity:   n. The state of being triple or threefold. 
mollify:   v. To soothe. 
dilate:   v. To enlarge in all directions. 
compress:   v. To press together or into smaller space. 
migrate:   v. To remove or pass from one country, region, or habitat to another. 
peninsular:   adj. Pertaining to a piece of land almost surrounded by water. 
fundamental:   adj. Basal. 
deviltry:   n. Wanton and malicious mischief. 
cognate:   adj. Akin. 
orthodox:   adj. Holding the commonly accepted faith. 
ought:   v. To be under moral obligation to be or do. 
renunciation:   n. An explicit disclaimer of a right or privilege. 
Americanism:   n. A peculiar sense in which an English word or phrase is used in the United States. 
oblong:   adj. Longer than broad
bibliophile:   n. One who loves books. 
genitive:   adj. Indicating source, origin, possession, or the like. 
equivalent:   adj. Equal in value, force, meaning, or the like. 
rapacious:   adj. Disposed to seize by violence or by unlawful or greedy methods. 
infusion:   n. The act of imbuing, or pouring in. 
bestride:   v. To get or sit upon astride, as a horse. 
assimilate:   v. To adapt. 
defalcate:   v. To cut off or take away, as a part of something. 
transferrer:   n. One who or that which conveys from one person or place to another. 
constituency:   n. The inhabitants or voters in a district represented in a legislative body. 
egoism:   n. The theory that places man's chief good in the completeness of self. 
inflammation:   n. A morbid process in some part of the body characterized by heat, swelling, and pain. 
abundant:   adj. Plentiful. 
tangency:   n. The state of touching. 
extinct:   adj. Being no longer in existence. 
resistance:   n. The exertion of opposite effort or effect. 
abrogate:   v. To abolish, repeal. 
intestacy:   n. The condition resulting from one's dying not having made a valid will. 
bombardier:   n. A person who has charge of mortars, bombs, and shells. 
omniscience:   n. Unlimited or infinite knowledge. 
disburse:   v. To pay out or expend, as money from a fund. 
elegy:   n. A lyric poem lamenting the dead. 
Calvinize:   v. To teach or imbue with the doctrines of Calvinism. 
pitiable:   adj. Contemptible. 
radiance:   n. Brilliant or sparkling luster. 
operetta:   n. A humorous play in dialogue and music, of more than one act. 
retrieve:   v. To recover something by searching. 
perquisite:   n. Any profit from service beyond the amount fixed as salary or wages. 
subjacent:   adj. Situated directly underneath. 
masquerade:   n. A social party composed of persons masked and costumed so as to be disguised. 
tenacious:   adj. Unyielding. 
fragile:   adj. Easily broken. 
demerit:   n. A mark for failure or bad conduct. 
retaliate:   v. To repay evil with a similar evil. 
locative:   adj. Indicating place, or the place where or wherein an action occurs. 
ascendant:   adj. Dominant. 
concurrence:   n. Agreement. 
underwrite:   v. To issue or be party to the issue of a policy of insurance. 
isle:   n. An island. 
intermittent:   adj. A temporary discontinuance. 
augment:   v. To make bigger. 
tolerable:   adj. Moderately good. 
coincide:   v. To correspond. 
agglomerate:   v. To pile or heap together. 
opinion:   n. A conclusion or judgment held with confidence, but falling short of positive knowledge. 
forecastle:   n. That part of the upper deck of a ship forward of the after fore-shrouds. 
extrude:   v. To drive out or away. 
discontinuance:   n. Interruption or intermission. 
idealize:   v. To make to conform to some mental or imaginary standard. 
conversion:   n. Change from one state or position to another, or from one form to another. 
statecraft:   n. The art of conducting state affairs. 
neural:   adj. Pertaining to the nerves or nervous system. 
indivertible:   adj. That can not be turned aside. 
inchoate:   adj. Incipient. 
irresponsible:   adj. Careless of or unable to meet responsibilities. 
illegal:   adj. Not according to law. 
inconstant:   adj. Changeable. 
caprice:   n. A whim. 
predicament:   n. A difficult, trying situation or plight. 
exemplar:   n. A model, pattern, or original to be copied or imitated. 
adamant:   n. Any substance of exceeding hardness or impenetrability. 
exhaust:   v. To empty by draining off the contents. 
embolden:   v. To give courage to. 
irate:   adj. Moved to anger. 
grisly:   adj. Fear-inspiring. 
out-of-the-way:   adj. Remotely situated. 
nuptial:   adj. Of or pertaining to marriage, especially to the marriage ceremony. 
Sol:   n. The sun. 
consummate:   v. To bring to completion. 
flag-officer:   n. The captain of a flag-ship. 
abstain:   v. To keep oneself back (from doing or using something). 
outpost:   n. A detachment of troops stationed at a distance from the main body to guard against surprise. 
proselyte:   n. One who has been won over from one religious belief to another. 
perforate:   v. To make a hole or holes through. 
fulsome:   adj. Offensive from excess of praise or commendation. 
lapse:   n. A slight deviation from what is right, proper, or just. 
distinction:   n. A note or designation of honor, officially recognizing superiority or success in studies. 
thoroughbred:   adj. Bred from the best or purest blood or stock. 
potency:   n. Power. 
overseer:   n. A supervisor. 
miser:   n. A person given to saving and hoarding unduly. 
abrade:   v. To wear away the surface or some part of by friction. 
seclusion:   n. Solitude. 
inceptive:   adj. Beginning. 
velocity:   n. Rapid motion. 
toleration:   n. A spirit of charitable leniency. 
foreordain:   v. To predetermine. 
ointment:   n. A fatty preparation with a butter-like consistency in which a medicinal substance exists.
doubly:   adv. In twofold degree or extent. 
amorous:   adj. Having a propensity for falling in love. 
allege:   v. To assert to be true, especially in a formal manner, as in court. 
generalize:   v. To draw general inferences. 
nihilist:   n. An advocate of the doctrine that nothing either exists or can be known. 
agitate:   v. To move or excite (the feelings or thoughts). 
homophone:   n. A word agreeing in sound with but different in meaning from another. 
lyre:   n. One of the most ancient of stringed instruments of the harp class. 
chagrin:   n. Keen vexation, annoyance, or mortification, as at one's failures or errors. 
refusal:   n. Denial of what is asked. 
ante:   v. In the game of poker, to put up a stake before the cards are dealt. 
deteriorate:   v. To grow worse. 
gastronomy:   n. The art of preparing and serving appetizing food. 
consign:   v. To entrust. 
probation:   n. Any proceeding designed to ascertain or test character, qualification, or the like. 
circulate:   v. To disseminate. 
lordling:   n. A little lord. 
botanize:   v. To study plant-life. 
resilient:   adj. Having the quality of springing back to a former position. 
pennant:   n. A small flag. 
slothful:   adj. Lazy. 
partisan:   adj. Characterized by or exhibiting undue or unreasoning devotion to a party. 
parentage:   n. The relation of parent to child, of the producer to the produced, or of cause to effect. 
suave:   adj. Smooth and pleasant in manner. 
misrule:   v. To misgovern. 
liable:   adj. Justly or legally responsible. 
craving:   n. A vehement desire. 
egregious:   adj. Extreme. 
colossus:   n. Any strikingly great person or object. 
propeller:   n. One who or that which propels. 
surrogate:   n. One who or that which is substituted for or appointed to act in place of another. 
proscription:   n. Any act of condemnation and rejection from favor and privilege. 
paraphrase:   v. Translate freely. 
disconnect:   v. To undo or dissolve the connection or association of. 
gamble:   v. To risk money or other possession on an event, chance, or contingency. 
polytheism:   n. The doctrine or belief that there are more gods than one. 
fretful:   adj. Disposed to peevishness. 
protuberant:   adj. Bulging. 
comparison:   n. Examination of two or more objects with reference to their likeness or unlikeness. 
hale:   adj. Of sound and vigorous health. 
kingling:   n. A petty king. 
hosiery:   n. A stocking. 
legalize:   v. To give the authority of law to. 
pretentious:   adj. Marked by pretense, conceit, or display. 
pectoral:   adj. Pertaining to the breast or thorax. 
philharmonic:   adj. Fond of music. 
aviary:   n. A spacious cage or enclosure in which live birds are kept. 
botany:   n. The science that treats of plants. 
altercate:   v. To contend angrily or zealously in words. 
encyclopedia:   n. A work containing information on subjects, or exhaustive of one subject. 
dramatist:   n. One who writes plays. 
loch:   n. A lake. 
atrocious:   adj. Outrageously or wantonly wicked, criminal, vile, or cruel. 
exorbitance:   n. Extravagance or enormity. 
riddance:   n. The act or ridding or delivering from something undesirable. 
retrench:   v. To cut down or reduce in extent or quantity. 
quietus:   n. A silencing, suppressing, or ending. 
gendarme:   n. In continental Europe, particularly in France, a uniformed and armed police officer. 
promoter:   n. A furtherer, forwarder, or encourager. 
surcharge:   n. An additional amount charged. 
underling:   n. A subordinate. 
accommodate:   v. To furnish something as a kindness or favor. 
precipice:   n. A high and very steep or approximately vertical cliff. 
avow:   v. To declare openly. 
counteract:   v. To act in opposition to. 
fickle:   adj. Unduly changeable in feeling, judgment, or purpose. 
auspice:   n. favoring, protecting, or propitious influence or guidance. 
contrite:   adj. Broken in spirit because of a sense of sin. 
diffusible:   adj. Spreading rapidly through the system and acting quickly. 
apex:   n. The highest point, as of a mountain. 
extensive:   adj. Extended widely in space, time, or scope. 
litigate:   v. To cause to become the subject-matter of a suit at law. 
fez:   n. A brimless felt cap in the shape of a truncated cone, usually red with a black tassel. 
indistinct:   adj. Vague. 
blaze:   n. A vivid glowing flame. 
stealth:   n. A concealed manner of acting. 
immaculate:   adj. Without spot or blemish. 
determination:   n. The act of deciding. 
promissory:   adj. Expressing an engagement to pay. 
coagulant:   adj. Producing coagulation. 
caption:   n. A heading, as of a chapter, section, document, etc. 
penalty:   n. The consequences that follow the transgression of natural or divine law. 
badger:   v. To pester. 
usurious:   adj. Taking unlawful or exorbitant interest on money loaned. 
logic:   n. The science of correct thinking. 
reiterate:   v. To say or do again and again. 
depopulate:   v. To remove the inhabitants from. 
inland:   adj. Remote from the sea. 
referable:   adj. Ascribable. 
rudimentary:   adj. Being in an initial, early, or incomplete stage of development. 
enervate:   v. To render ineffective or inoperative. 
senile:   adj. Peculiar to or proceeding from the weakness or infirmity of old age. 
gluttonous:   adj. Given to excess in eating. 
ingratitude:   n. Insensibility to kindness. 
archaism:   n. Obsolescence. 
nowhere:   adv. In no place or state. 
